id,name,networth,country,source,rank,age,citizenship,status,children,self_made,degree,university,longitude,latitude
2523,Radhe Shyam Agarwal,1.1,India,consumer goods,2524,76,India,Married,3,True,LLB," Calcutta University; M.Com, Calcutta University; Chartered Accountant, Institute of Chartered Accountants of India; Company Secretary, Institute of Company Secretaries of India",88.36388150000001,22.5726723
2528,Binny Bansal,1.1,India,flipkart,2524,38,India,Married,2,True,Bachelor of Science in Engineering, Indian Institute of Technology,103.8194992,1.357107
2529,Eduardo Belmont Anderson,1.1,Peru,cosmetics,2524,75,Peru,Married,3,True,Bachelor of Arts/Science," University of North Carolina, Chapel Hill",-77.0365256,-12.0621065
2530,John Bicket,1.1,United States,sensor systems,2524,41,United States,Married,2,True,Bachelor of Science," Cornell University; Master of Science, Massachusetts Institute of Technology",-122.419906,37.7790262
2531,Sanjit Biswas,1.1,United States,sensor systems,2524,39,United States,Married,3,True,Master of Science," Massachusetts Institute of Technology; Bachelor of Science, Stanford University",-122.419906,37.7790262
2532,Lloyd Blankfein,1.1,United States,banking,2524,66,United States,Married,3,True,Bachelor of Arts/Science," Harvard University; Doctor of Jurisprudence, Harvard University",-74.00601519999999,40.7127281
2542,Weili Dai,1.1,United States,semiconductors,2524,59,United States,Married,2,True,Bachelor of Arts/Science," University of California, Berkeley",-115.148516,36.1672559
2549,Soichiro Fukutake,1.1,Japan,education,2524,75,Japan,Married,1,False,Bachelor of Arts/Science, Waseda University,174.7631803,-36.852095
2555,Anne Gittinger,1.1,United States,Nordstrom department stores,2524,85,United States,Married,2,False,Bachelor of Arts/Science, University of Washington,-122.3300624,47.6038321
2557,Radhe Shyam Goenka,1.1,India,consumer goods,2524,75,India,Married,3,True,LLB," Calcutta University; M.Com, Calcutta University",88.36388150000001,22.5726723
2563,Ming Hsieh,1.1,United States,Fulgent Genetics,2524,65,United States,Married,2,True,Bachelor of Arts/Science," University of Southern California; Master of Science, University of Southern California",-118.242766,34.0536909
2566,Mohammed Ibrahim,1.1,United Kingdom,communications,2524,75,United Kingdom,Married,2,True,Bachelor of Arts/Science," University of Alexandria; Ph.D, University of Birmingham; Master, University of Bradford",-0.1276474,51.5073219
2573,Richard Kayne,1.1,United States,investments,2524,75,United States,Married,3,True,Bachelor of Arts/Science," Stanford University; Master of Business Administration, University of California, Los Angeles",-118.4912273,34.0194704
2578,Gennady Kozovoy,1.1,Russia,coal,2524,69,Russia,Married,2,True,Bachelor of Arts/Science, Irkutsk Polytechnic Institute,88.0703443,53.6863763
2584,Lee Ho-jin,1.1,South Korea,diversified,2524,58,South Korea,Married,2,False,Master of Business Administration," Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Seoul National University",126.9782914,37.5666791
2585,Lee Joong-keun,1.1,South Korea,"construction, real estate",2524,80,South Korea,Married,4,True,Doctorate, Korea University,126.9782914,37.5666791
2586,Manfredi Lefebvre d'Ovidio,1.1,Italy,cruises,2524,68,Italy,Divorced,1,False,Drop Out, La Sapienza University of Rome,7.426559,43.7402961
2587,Nancy Lerner,1.1,United States,"banking, credit cards",2524,60,United States,Married,5,False,Doctor of Jurisprudence," Cleveland State University; Bachelor of Arts/Science, University of Cincinnati",-81.69344460000001,41.5051613
2589,Randolph Lerner,1.1,United States,"banking, credit cards",2524,59,United States,Married,4,False,Bachelor of Arts/Science," Columbia University; LLB, Columbia University",-81.69344460000001,41.5051613
2602,Yasseen Mansour,1.1,Egypt,diversified,2524,59,Egypt,Married,4,True,Bachelor of Arts/Science, George Washington University,31.2357257,30.0443879
2608,Bruce Nordstrom,1.1,United States,Nordstrom department stores,2524,87,United States,Married,3,False,Bachelor of Arts/Science, University of Washington,-122.3300624,47.6038321
2619,M.Satyanarayana Reddy,1.1,India,pharmaceuticals,2524,63,India,Married,2,True,Ph.D, Osmania University,78.4740613,17.360589
2623,Jack Schuler,1.1,United States,pharmaceuticals,2524,80,United States,Married,3,True,Master of Business Administration," Stanford Graduate School of Business; Bachelor of Science, Tufts University",-87.83423620000001,42.2789117
2624,Neerja Sethi,1.1,United States,"IT consulting, outsourcing",2524,66,United States,Married,2,True,Bachelor of Arts/Science," Delhi University; Master of Business Administration, Delhi University; Master of Science, Oakland University",-80.14003649999999,25.7598373
2627,Michael S. Smith,1.1,United States,liquefied natural gas,2524,65,United States,Married,2,True,Drop Out, University of Colorado,-80.13530059999999,25.7929198
2630,Sehat Sutardja,1.1,United States,semiconductors,2524,59,United States,Married,2,True,Bachelor of Arts/Science," University of California, Berkeley",-115.148516,36.1672559
2636,Mehmet Sinan Tara,1.1,Turkey,construction,2524,62,Turkey,Married,3,False,Master of Business Administration, Stanford University,28.9651646,41.0096334
2638,Carl Thoma,1.1,United States,investments,2524,72,United States,Married,2,True,Bachelor of Science," Oklahoma State University; Master of Business Administration, Stanford Business School",-87.6244212,41.8755616
2647,Wen Yibo & family,1.1,China,wastewater treatment,2524,55,China,Married,1,True,Bachelor of Arts/Science," Lanzhou Railway College; Master of Science, Tsinghua University",116.3912757,39.906217
2649,Dan Wilks,1.1,United States,natural gas,2524,64,United States,Married,6,True,Diploma, High School,-98.97971649999999,32.3828077
2657,George Yancopoulos,1.1,United States,pharmaceuticals,2524,61,United States,Divorced,2,True,Medical Doctor," Columbia University; Ph.D, Columbia University",-73.7752704,41.2695965
2661,Igor Yusufov,1.1,Russia,oil & gas,2524,64,Russia,Married,2,True,Bachelor of Engineering," Novocherkassk Polytechnic Institute; Bachelor of Arts/Economics, Russian Foreign Trade Academy",37.6174943,55.7504461
2671,Boris Zingarevich,1.1,Russia,"pulp and paper, diversified",2524,61,Russia,Married,2,True,Master of Science, Leningrad Technological Institute of Pulp and Paper Industry,30.316229,59.938732
2672,Ahmet Nazif Zorlu,1.1,Turkey,diversified,2524,76,Turkey,Married,3,True,Drop Out, High School,28.9651646,41.0096334
2674,Albert Avdolyan,1.0,Russia,"oil, mining",2674,50,Russia,Married,4,True,Master of Laws, Irkutsk State University,37.6174943,55.7504461
2675,Baiju Bhatt,1.0,United States,stock trading app,2674,36,United States,Married,1,True,Bachelor of Science, Stanford University,-122.1598465,37.4443293
2676,"Wilbur 'Ed' Bosarge, Jr.",1.0,United States,high speed trading,2674,81,United States,Engaged,2,True,Ph.D," Brown University; Bachelor of Arts/Science, Georgia Tech",-95.3676974,29.7589382
2679,Chung Mong-joon,1.0,South Korea,"shipbuilding, industrial machines",2674,69,South Korea,Married,4,False,Ph.D," Johns Hopkins University; Master of Business Administration, Massachusetts Institute of Technology; Bachelor of Arts/Science, Seoul National University",126.9782914,37.5666791
2685,Larry Fink,1.0,United States,money management,2674,68,United States,Married,3,True,Master of Business Administration," Anderson School of Management; Bachelor of Arts/Science, University of California, Los Angeles",-74.00601519999999,40.7127281
2695,Hur Young-in,1.0,South Korea,"bakeries, fast food",2674,71,South Korea,Married,2,False,Bachelor of Arts/Economics, Kyung Hee University,126.9782914,37.5666791
2698,Ashok Kajaria,1.0,India,tiles,2674,73,India,Married,2,True,Bachelor of Science in Engineering, UCLA,77.2219388,28.6517178
2702,Bom Kim,1.0,United States,online retailing,2674,42,United States,Married,1,True,Bachelor of Arts/Science, Harvard University,126.9782914,37.5666791
2703,Masatoshi Kumagai,1.0,Japan,internet services,2674,57,Japan,Married,1,True,Drop Out, Osgoode Hall Law School,139.7594549,35.6828387
2704,Lev Kvetnoi,1.0,Russia,cement,2674,55,Russia,Married,2,True,Bachelor of Arts/Science, Leningrad Institute of Physical Culture,37.6174943,55.7504461
2705,Vladimir Leschikov,1.0,Russia,real estate,2674,64,Russia,Married,7,True,Bachelor of Science, Dagestan State University,37.6174943,55.7504461
2708,Jose Llado Fernandez-Urrutia,1.0,Spain,construction,2674,87,Spain,Married,5,True,Ph.D," Universidad Complutense de Madrid; Doctorate, University of Madras",-3.7035825,40.4167047
2711,Sergei Makhlai,1.0,Russia,fertilizers,2674,52,Russia,Married,1,False,Master of Science, Perm Polytechnical Institute,-79.05578,35.9131542
